index,Area,Unit Price (Saleable)int,gain/loss
611,Tuen Mun Ferry Pier,12160,1
612,Kwun Tong,9321,
613,Tai Kok Tsui,22861,
614,Taikoo Shing,17545,
615,Tsing Yi,5267,
616,Tsuen Wan West,17724,
617,Tsuen Wan West,19037,
618,Tsuen Wan West,20693,
619,Tsuen Wan West,19347,
620,Tsing Yi,18627,1
621,Mong Kok,8446,
622,Sham Tseng,11355,
623,Sham Shui Po,11411,1
624,Tsuen Wan Hoi Bun,11000,1
625,Sheung Kwai Chung,10143,0
626,Taikoo Shing,15533,
627,Tin Shui Wai,14972,
628,Tsing Yi,14227,0
629,Tin Shui Wai,16246,
630,Tin Shui Wai,14203,
631,Tin Shui Wai,14450,
632,To Kwa Wan,13728,
633,Tin Shui Wai,16488,
634,Tin Shui Wai,15906,
635,Tuen Mun Town Centre,11416,1
636,Ha Kwai Chung,15450,1
637,Sham Tseng,13043,
638,Wan Chai,26818,1
639,Tung Chung Town Centre,6505,
640,To Kwa Wan,12558,1
641,Tung Chung Town Centre,13204,1
642,Chi Lok,10954,0
643,Ngau Tau Kok,13352,
644,Mei Foo,12623,1
645,Tsing Yi,5534,
646,Tsing Yi,5392,
647,Jordan,14193,1
648,North Point,18147,1
649,North Point,14019,1
650,Mid-Levels Central,34653,1
651,North Point,16793,1
652,Yuen Long Town Centre,10074,
653,Hung Hom,13056,
654,Olympic Station,25281,1
655,Shau Kei Wan,16374,
656,Repulse Bay,59218,1
657,Lung Ping,12983,
658,Tai Kok Tsui,24847,
659,Tsuen King Circuit,12079,1
660,Tuen Mun Ferry Pier,9036,
661,Quarry Bay,8072,
662,Siu Sai Wan,17284,1
663,Yuen Long South New Development Area,10654,0
664,Tsim Sha Tsui,10808,
665,Long Ping,14325,0
666,Residence Bel-air,26912,1
667,Belvedere,10404,1
668,Shap Pat Heung,13365,1
669,Yau Tong,16516,1
670,South Horizons,16398,
671,Lam Tin,14081,
672,Sheung Wan,19847,
673,Belvedere,12899,
674,Tuen Mun Ferry Pier,7253,
675,Mei Foo,11591,
676,Kwun Tong,8577,
677,Kowloon Bay,11663,1
678,Wong Tai Sin,13031,1
679,Tin Shui Wai,15249,
680,Tin Shui Wai,13301,
681,Kowloon Station,24023,1
682,Kowloon Station,21676,1
683,Happy Valley,14225,1
684,Tin Shui Wai,15110,
685,Tin Shui Wai,16196,
686,Kowloon Tong,12406,
687,Tin Shui Wai,13543,
688,Tsuen Wan West,14063,
689,Tsing Yi,12425,
690,Tsing Yi,5801,
691,Kowloon Bay,14433,1
692,To Kwa Wan,9140,
693,To Kwa Wan,9996,1
694,Choi Hung,14896,1
695,Heng Fa Chuen,14188,
696,Kwun Tong,9295,
697,Kwun Tong,10392,
698,Whampoa,15514,
699,Whampoa,17402,
700,Tin Shui Wai,15232,
701,Jordan,14845,1
702,Jordan,8907,1
703,Kwun Tong,7968,
704,Mei Foo,10542,1
705,Diamond Hill,12629,
706,Tin Shui Wai,13423,
707,Diamond Hill,12794,
708,To Kwa Wan,8765,
709,San Po Kong,8092,1
710,Tin Shui Wai,9864,1
711,Tin Shui Wai,12099,0
712,Tin Shui Wai,8227,1
713,Tung Chung Town Centre,12135,1
714,Discovery Bay,8818,0
715,Central,21809,
716,Tin Shui Wai,14920,
717,Tin Shui Wai,14421,
718,Tin Shui Wai,14644,
719,Yuen Long Town Centre,14134,1
720,Kwun Tong,10369,
721,Diamond Hill,12206,
722,Tuen Mun Town Centre,15762,1
723,Jordan,11517,1
724,Diamond Hill,9384,
725,Diamond Hill,13333,
726,Ho Man Tin,13193,1
727,Discovery Bay,14501,1
728,Tin Shui Wai,15371,
729,Tin Shui Wai,9881,
730,Tin Shui Wai,10726,1
731,Tai Kok Tsui,9499,0
732,Four Little Dragons,16529,1
733,Four Little Dragons,15302,1
734,Taikoo Shing,18351,1
735,Wan Chai,13720,
736,Tai Kok Tsui,10676,
737,Sai Ying Pun,17773,1
738,Sai Ying Pun,29097,1
739,Sai Ying Pun,23400,0
740,North Point,19487,
741,Tung Chung Town Centre,10586,
742,Sai Wan Ho,30467,
743,Tin Shui Wai,14585,
744,Tin Shui Wai,15620,
745,Tin Shui Wai,14329,
746,Jordan,15308,1
747,Wong Tai Sin,5257,
748,Mid-Levels West,20589,
749,Mid-Levels West,18249,
750,Mid-Levels West,22897,
751,Mid-Levels West,19253,1
752,Tuen Mun North,11212,
753,Tsuen Wan West,13855,1
754,Mid-Levels West,31867,
755,Mong Kok,8715,
756,Tai Hang Mid-Levels,21516,
757,Mong Kok,8296,
758,Ap Lei CHau,8399,
759,Mei Foo,11269,
760,Causeway Bay,,
761,Tin Hau,14586,0
762,North Point,7371,1
763,North Point,17442,0
764,Sham Shui Po,10450,1
765,Tsuen Wan Hoi Bun,12522,
766,Tin Shui Wai,14939,
767,Diamond Hill,16515,1
768,San Po Kong,8750,
769,Tin Shui Wai,14673,
770,Whampoa,12583,1
771,Whampoa,13525,
772,Diamond Hill,7324,
773,Olympic Station,20127,1
774,San Po Kong,15777,
775,Kwun Tong,10655,1
776,Shau Kei Wan,16401,
777,Kwun Tong,8678,
778,Tuen Mun Town Centre,12923,
779,Tuen Mun Town Centre,13477,1
780,Tuen Mun Town Centre,6738,
781,Tai Kok Tsui,29767,
782,Cheung Sha Wan,14509,
783,Ngau Chi Wan,9567,
784,So Kwun Wat,12801,1
785,Quarry Bay,12788,
786,Ma Tau Wai,8601,1
787,Nam Cheong Station,13359,
788,Ma Tau Wai,13522,1
789,Tsim Sha Tsui,9146,0
790,Kai Tak New Area,24898,
791,Wah Fu,11733,
792,Ngau Tau Kok,12984,1
793,Lam Tin,10375,
794,Lam Tei,8081,1
795,Lam Tin,13868,1
796,Ma Wan,11075,
797,Lam Tin,13035,
798,Tuen Mun South,7193,
799,Tin Shui Wai,14846,
800,Tin Shui Wai,15032,
801,Tin Shui Wai,10181,
802,Tin Shui Wai,10781,
803,Discovery Park,13967,
804,Kam Tin,15309,1
805,Tsim Sha Tsui,14245,
806,Kam Tin,15737,1
807,Nam Cheong Station,21258,0
808,Sheung Wan,14387,1
809,Sheung Kwai Chung,12536,1
810,Lam Tin,10638,
811,Lam Tin,10246,
812,Palm Springs / Fairview,13941,
813,Tsing Yi,5757,
814,Cheung Sha Wan,13919,
815,Tsing Yi,5237,
816,Sham Tseng,12225,1
817,Shau Kei Wan,11913,
818,Sham Tseng,12722,1
819,Kowloon Bay,11224,0
820,Hung Hom,11111,1
821,Kowloon Bay,11590,
822,Tsing Yi,5340,
823,Tsing Yi,14224,1
824,Sham Tseng,13690,1
825,To Kwa Wan,14137,1
826,Lam Tin,12154,
827,Lam Tei,9748,1
828,Tin Shui Wai,14784,
829,Tsing Yi,5701,
830,To Kwa Wan,16208,1
831,To Kwa Wan,9044,
832,To Kwa Wan,9112,1
833,To Kwa Wan,8320,1
834,To Kwa Wan,8936,
835,Tuen Mun North,10470,1
836,To Kwa Wan,18458,
837,Kwun Tong,9434,
838,Lai Wan,8648,
839,Chai Wan,10691,
840,Kwun Tong,16579,1
841,Yuen Long Station,15829,1
842,Long Ping,9875,1
843,Long Ping,9333,
844,Lai Wan,9118,
845,Shau Kei Wan,9880,1
846,Lam Tei,9492,1
847,Lam Tei,11364,1
848,Kwun Tong,10248,
849,Wan Chai,20260,
