index,Area,Unit Price (Saleable)int,gain/loss
65873,Sheung Kwai Chung,7801,1
65874,Tai Kok Tsui,16721,1
65875,Kwun Tong,12374,1
65876,So Kwun Wat,16239,
65877,So Kwun Wat,16587,
65878,Whampoa,16099,1
65879,So Kwun Wat,16503,
65880,So Kwun Wat,15702,
65881,Whampoa,19449,1
65882,So Kwun Wat,16715,
65883,Hung Hom,17351,1
65884,Shap Pat Heung,12639,1
65885,Siu Sai Wan,14988,
65886,Shap Pat Heung,11071,1
65887,Prince Edward,5618,1
65888,Hung Hom,18148,1
65889,Ha Kwai Chung,13772,
65890,Hung Hom,12594,1
65891,Yau Tong,13065,
65892,Tsuen Wan West,17111,1
65893,Yuen Long Town Centre,13980,
65894,Lam Tin,15769,1
65895,Kwun Tong,8121,1
65896,Tin Shui Wai,10520,1
65897,Hung Hom,10384,1
65898,Olympic Station,17730,1
65899,Ha Kwai Chung,7873,
65900,Ha Kwai Chung,13333,1
65901,Ha Kwai Chung,21371,1
65902,Hung Hom,15470,1
65903,Tsuen Wan West,16799,1
65904,Hung Hom,19007,1
65905,Tung Chung Town Centre,12445,1
65906,Mong Kok,15195,1
65907,Tin Shui Wai,12369,1
65908,Mid-Levels West,24219,1
65909,Tuen Mun South,11439,
65910,Tsing Yi,13544,
65911,Tsing Yi,17601,1
65912,Tsing Yi,12766,1
65913,Tsing Yi,16835,
65914,Happy Valley,26882,1
65915,Tuen Mun South,11477,1
65916,Tuen Mun South,11310,1
65917,Kowloon Bay,12345,
65918,Tsing Yi,15883,1
65919,Tsuen King Circuit,16120,1
65920,Taikoo Shing,19502,1
65921,Kowloon Bay,15431,1
65922,Tuen Mun North,14410,1
65923,Pok Fu Lam,14184,1
65924,Mei Foo,14248,1
65925,Mei Foo,14869,1
65926,Yau Kom Tau,12256,1
65927,Mei Foo,12300,1
65928,Taikoo Shing,15965,1
65929,Nam Cheong Station,26923,
65930,Lai King,11746,
65931,Lai King,11520,
65932,North Point,16698,1
65933,Tuen Mun Town Centre,15094,1
65934,Laguna,18969,1
65935,Prince Edward,9774,
65936,Tsuen King Circuit,16690,1
65937,Tsing Yi,12302,
65938,Tsuen King Circuit,9375,1
65939,Tsuen King Circuit,13957,1
65940,Jordan,16593,
65941,Jordan,16329,1
65942,Jordan,13309,1
65943,Tsing Yi,11525,1
65944,Tsing Yi,12494,1
65945,Mei Foo,13996,1
65946,Kowloon Tong,18279,1
65947,Nam Cheong Station,25761,
65948,Mid-Levels West,22607,1
65949,Discovery Bay,17355,
65950,Discovery Bay,17211,
65951,Discovery Bay,16300,
65952,Discovery Bay,16000,
65953,Mid-Levels West,20710,1
65954,Mid-Levels West,31466,1
65955,South Horizons,17797,1
65956,South Horizons,14815,1
65957,Au Tau,9532,1
65958,Tin Shui Wai,10299,1
65959,Laguna,19337,1
65960,Cheung Sha Wan,17905,1
65961,Pok Fu Lam,14184,1
65962,Pok Fu Lam,18642,1
65963,Shek Tong Tsui,24224,1
65964,Tin Shui Wai,12781,1
65965,Prince Edward,16218,1
65966,Kowloon Tong,16646,
65967,Kowloon Station,24645,1
65968,Yuen Long Town Centre,13552,0
65969,Yuen Long Town Centre,14303,1
65970,Yuen Long Town Centre,11896,
65971,Tuen Mun North,5793,
65972,Tuen Mun North,11633,1
65973,Tuen Mun North,12237,1
65974,Hung Hom,21531,1
65975,Kowloon Bay,16933,1
65976,Hung Hom,17664,1
65977,Sham Shui Po,17272,1
65978,Sham Shui Po,19589,1
65979,Sham Shui Po,18029,
65980,Sham Shui Po,20137,1
65981,Sham Shui Po,15347,1
65982,Kowloon Bay,15806,1
65983,Nam Cheong Station,24583,1
65984,Nam Cheong Station,29889,
65985,Nob Hill,13226,
65986,Sai Ying Pun,21497,
65987,Belvedere,12156,1
65988,Sheung Wan,20082,1
65989,Sheung Wan,16229,
65990,Tai Hang,20629,
65991,Discovery Park,13559,1
65992,Sheung Kwai Chung,14331,1
65993,Sheung Kwai Chung,14174,1
65994,To Kwa Wan,19809,1
65995,Kornhill,16102,1
65996,Sai Wan Ho,20813,1
65997,To Kwa Wan,23577,0
65998,Kwun Tong,15767,1
65999,North Point,10616,
66000,North Point,17414,
66001,North Point,17786,1
66002,North Point,14488,
66003,To Kwa Wan,16542,1
66004,Siu Sai Wan,15348,1
66005,Kai Tak New Area,23193,1
66006,Olympic Station,21527,1
66007,Olympic Station,28090,1
66008,Shau Kei Wan,9735,1
66009,Kai Tak New Area,27315,
66010,Shap Pat Heung,18015,1
66011,Kai Tak New Area,30716,
66012,To Kwa Wan,20028,1
66013,Kai Tak New Area,23174,
66014,Mid-Levels Central,38089,
66015,Kai Tak New Area,26988,
66016,Yiu Tung,8851,
66017,Kai Tak New Area,22141,
66018,Shap Pat Heung,12008,1
66019,Kai Tak New Area,26078,
66020,Olympic Station,22601,1
66021,North Point,15213,
66022,Causeway Bay,23084,0
66023,Shek Tong Tsui,16849,1
66024,To Kwa Wan,8832,1
66025,To Kwa Wan,13797,1
66026,Tsuen Wan West,18018,1
66027,To Kwa Wan,8621,1
66028,Tsuen Wan West,20478,1
66029,Tsuen Wan West,19493,1
66030,Olympic Station,22333,0
66031,Tsuen Wan West,15918,
66032,Olympic Station,18004,1
66033,Tuen Mun Town Centre,13447,1
66034,Yau Tong,21729,
66035,North Point,16109,1
66036,Ping Shan,,
66037,Yau Tong,22000,
66038,Sai Wan Ho,10526,
66039,North Point,17376,1
66040,Sai Ying Pun,14851,
66041,North Point,8323,1
66042,North Point,13659,1
66043,Kwun Tong,12755,
66044,Kwun Tong,11024,
66045,Kwun Tong,8750,
66046,Cheung Sha Wan,15152,1
66047,Cheung Sha Wan,15302,1
66048,Cheung Sha Wan,22809,
66049,Cheung Sha Wan,15039,1
66050,Tsuen Wan Hoi Bun,15379,1
66051,Quarry Bay,13026,1
66052,Ho Man Tin,13353,
66053,Tsim Sha Tsui,15449,1
66054,Tsim Sha Tsui,7497,
66055,Ho Man Tin,20068,0
66056,Yuen Long Station,16232,1
66057,Tsuen Wan Town Centre,16304,1
66058,Cheung Sha Wan,15903,1
66059,Cheung Sha Wan,16667,1
66060,Tung Chung Town Centre,12422,1
66061,Tung Chung Town Centre,15276,1
66062,Yuen Long Station,15792,1
66063,Yuen Long Station,17531,1
66064,Tung Chung Town Centre,14966,1
66065,Yuen Long Station,16947,1
66066,Tai Kok Tsui,18248,1
66067,Tai Kok Tsui,23065,
66068,Tai Kok Tsui,9036,1
66069,Tai Kok Tsui,14495,1
66070,Quarry Bay,21303,1
66071,Tai Kok Tsui,20447,
66072,Wong Tai Sin,19400,1
66073,Yuen Long Station,15033,1
66074,Tai Wo Hau,13417,1
66075,Kennedy Town,23502,1
66076,Lantau,11134,1
66077,Ho Man Tin,17181,1
66078,Kennedy Town,,
66079,Ho Man Tin,13753,1
66080,Lantau,10953,1
66081,Tung Chung Town Centre,16014,1
66082,Hung Shui Kiu North New Development Area,14677,1
66083,Chi Lok,10330,
66084,So Kwun Wat,17186,
66085,Lam Tin,12154,1
66086,Lam Tin,11372,
66087,Hung Shui Kiu North New Development Area,11869,1
66088,Cheung Sha Wan,17079,1
66089,Lam Tin,9662,
66090,Chi Lok,13462,
66091,Lam Tin,19765,
66092,Tsuen Wan Hoi Bun,12025,
66093,Chi Lok,11641,1
66094,San Po Kong,11134,
66095,San Po Kong,8101,1
66096,So Kwun Wat,19122,
66097,Tsuen Wan Hoi Bun,15118,1
66098,Tin Wan,21496,0
66099,Chai Wan,13061,
66100,Cheung Sha Wan,17565,1
66101,Hung Shui Kiu North New Development Area,11175,1
66102,Hung Shui Kiu North New Development Area,9573,1
66103,Tung Chung Town Centre,16260,1
66104,Tung Chung Town Centre,13091,1
66105,Tuen Mun San Hui,10882,1
66106,Tsuen Wan Town Centre,9660,1
66107,Tuen Mun San Hui,17041,1
66108,Tsuen Wan Town Centre,9124,1
66109,Diamond Hill,16209,1
66110,So Kwun Wat,12125,1
66111,So Kwun Wat,9519,1
66112,So Kwun Wat,15773,
66113,Tuen Mun San Hui,17873,
66114,Tin Wan,21496,0
66115,Ma Wan,12820,1
66116,Tai Kok Tsui,19692,1
66117,Wong Tai Sin,11061,
66118,Quarry Bay,17852,1
66119,Long Ping,10662,
66120,Tin Shui Wai,10786,1
66121,Tin Shui Wai,11243,1
66122,Kam Tin,14807,1
66123,Ngau Tau Kok,11117,
66124,Cheung Sha Wan,16518,
66125,Wong Tai Sin,16667,1
66126,So Kwun Wat,16862,
66127,Ha Kwai Chung,16506,1
66128,Ha Kwai Chung,16473,1
66129,Four Little Dragons,16531,1
66130,Ngau Tau Kok,11874,
66131,Tsing Lung Tau,8891,1
66132,Kam Tin,13451,1
66133,Kam Tin,20452,
66134,Kowloon Bay,13598,1
66135,Kowloon Bay,13219,
66136,Kowloon Bay,18491,1
66137,Whampoa,19229,1
66138,Wan Chai,20147,1
66139,Wan Chai,13768,1
66140,Wan Chai,17197,1
66141,Wan Chai,12024,1
66142,Whampoa,16195,1
66143,Whampoa,16324,1
66144,Whampoa,20166,1
66145,Tsing Lung Tau,8490,1
66146,Cheung Sha Wan,17138,1
66147,So Kwun Wat,15118,
66148,So Kwun Wat,17622,
66149,Siu Lam,7815,1
66150,Siu Hong,13899,1
66151,So Kwun Wat,16389,
66152,Ma Wan,11927,1
66153,Kowloon City,10455,1
66154,Kowloon City,19624,1
66155,So Kwun Wat,15437,
66156,So Kwun Wat,23574,
66157,So Kwun Wat,11739,1
66158,Ngau Chi Wan,10304,
66159,Wong Tai Sin,5773,
66160,Tai Kok Tsui,10769,
66161,Tai Kok Tsui,21176,1
66162,Siu Hong,10687,
66163,Tsing Yi,16200,
66164,Choi Hung,13893,1
66165,Siu Lam,9716,1
66166,Four Little Dragons,18376,1
66167,Ma Wan,13441,1
66168,Siu Lam,10224,1
66169,So Kwun Wat,15730,
66170,So Kwun Wat,15194,
66171,Ho Man Tin,16722,
66172,Ma Wan,11676,1
66173,Tsing Yi,16503,
66174,Sai Ying Pun,18525,1
66175,Tsuen Wan West,21960,1
66176,Tsing Yi,16920,
66177,Tsing Yi,13873,1
66178,So Kwun Wat,15776,
66179,Tsuen Wan Town Centre,12121,0
66180,Whampoa,18252,1
66181,North Point,19282,1
66182,Lam Tin,12968,
66183,Tung Chung Town Centre,9057,1
66184,Ma Tau Wai,16127,
66185,Ap Lei CHau,18133,1
66186,Sai Wan Ho,12179,
66187,Tsing Lung Tau,12405,1
66188,Whampoa,17172,1
66189,North Point Mid-Levels,20050,1
66190,Diamond Hill,16071,
66191,Lam Tin,15435,1
66192,Happy Valley,19249,1
66193,Mong Kok,17982,1
66194,Mong Kok,8509,
66195,Whampoa,16535,1
66196,Whampoa,17528,1
66197,Whampoa,17406,1
66198,Kowloon Bay,16917,1
66199,Kowloon Bay,16320,1
66200,Whampoa,16621,1
66201,Whampoa,13763,1
66202,Diamond Hill,16634,1
66203,North Point Mid-Levels,17384,1
66204,So Kwun Wat,16693,
66205,North Point Mid-Levels,28784,1
66206,North Point,14745,1
66207,So Kwun Wat,16129,1
66208,Nam Cheong Station,25732,
66209,Nam Cheong Station,28561,
66210,Nam Cheong Station,53850,
66211,Nam Cheong Station,26904,
66212,Chi Lok,11190,1
66213,Kowloon Bay,13710,
66214,Tuen Mun San Hui,10829,1
66215,Quarry Bay,13973,
66216,Cheung Sha Wan,25208,
66217,Tsing Yi,13339,
66218,Lam Tin,13239,
66219,Tuen Mun San Hui,11677,1
66220,Long Ping,16037,1
66221,Causeway Bay,15685,1
66222,Kowloon Bay,13833,
66223,Sai Ying Pun,24687,1
66224,Kowloon Bay,17360,1
66225,Long Ping,15702,1
66226,Taikoo Shing,18870,1
66227,Taikoo Shing,16358,1
66228,Cheung Sha Wan,16486,1
66229,Chi Lok,10000,1
66230,Hung Shui Kiu North New Development Area,12349,1
66231,Tuen Mun South,12022,1
66232,Happy Valley,21127,1
66233,Tsing Yi,13062,1
66234,Mid-Levels West,27174,1
66235,Cheung Sha Wan,17456,1
66236,Tsing Yi,13592,1
66237,Tsing Yi,12371,1
66238,Palm Springs / Fairview,12766,1
66239,Tsuen Wan Town Centre,10435,
66240,Aberdeen,15234,
66241,So Kwun Wat,11996,0
66242,Mong Kok,17217,1
66243,Wan Chai,24370,
66244,Tuen Mun San Hui,11822,
66245,Lam Tin,13326,
66246,Happy Valley,27173,1
66247,North Point Mid-Levels,22595,1
66248,Tuen Mun San Hui,15412,
66249,Lam Tin,10771,
66250,Taikoo Shing,22006,
66251,Siu Hong,11090,
66252,Ma Wan,12683,1
66253,Ma Wan,12358,1
66254,Kennedy Town,20399,1
66255,Kowloon City,11069,
66256,Siu Sai Wan,19626,1
66257,Shap Pat Heung,11765,1
66258,Sham Tseng,14084,1
66259,Siu Sai Wan,17831,1
66260,Sham Tseng,12816,1
66261,Sham Tseng,13843,1
66262,Siu Hong,,
66263,Cheung Sha Wan,9790,
66264,Siu Hong,12224,1
66265,Tuen Mun Town Centre,15094,1
66266,Belvedere,11527,1
66267,Belvedere,12267,
66268,Belvedere,12363,1
66269,Discovery Park,14371,1
66270,Quarry Bay,14825,
66271,San Po Kong,19653,1
66272,Ngau Chi Wan,12224,
66273,Lam Tei,13343,1
66274,Olympic Station,18812,1
66275,Olympic Station,21114,1
66276,Olympic Station,24288,1
66277,Sheung Wan,25000,1
66278,Olympic Station,17853,1
66279,Heng Fa Chuen,15116,1
66280,Yuen Long Station,12158,1
66281,Tin Shui Wai,11514,1
66282,Discovery Bay,14107,1
66283,Four Little Dragons,17265,1
66284,Four Little Dragons,18126,
66285,Four Little Dragons,17408,1
66286,Four Little Dragons,18367,1
66287,South Horizons,13699,1
66288,Four Little Dragons,18288,1
66289,Four Little Dragons,22755,1
66290,Sai Wan Ho,21348,1
66291,Ha Kwai Chung,14458,1
66292,Ha Kwai Chung,16096,1
66293,Belvedere,12700,1
66294,Tsing Lung Tau,16219,
66295,Discovery Bay,12647,1
66296,Tuen Mun Town Centre,18249,1
66297,Mid-Levels West,18655,
66298,Tsing Lung Tau,9958,1
66299,North Point Mid-Levels,19841,
66300,Kai Tak New Area,24068,
66301,Kowloon City,17782,1
66302,Discovery Park,13934,1
66303,Tin Shui Wai,11912,1
66304,Yuen Long Station,12088,1
66305,Yuen Long Station,13693,1
66306,Tuen Mun Town Centre,14377,1
66307,Tuen Mun Town Centre,19913,1
66308,North Point Mid-Levels,16595,1
66309,Chi Lok,13231,1
66310,Yuen Long South New Development Area,12085,
66311,Kam Tin,12931,1
66312,Discovery Bay,10120,1
66313,Au Tau,10582,1
66314,Au Tau,12422,1
66315,Wan Chai,12101,
66316,Four Little Dragons,18427,1
66317,Sheung Wan,12478,
66318,Sai Wan Ho,23531,
66319,Kam Tin,13385,1
66320,Kam Tin,11761,1
66321,Tin Shui Wai,10478,1
66322,Discovery Bay,9892,1
66323,Tin Shui Wai,11517,1
66324,Tin Shui Wai,6877,
66325,Tsuen Wan Town Centre,14755,1
66326,Cheung Sha Wan,13399,1
66327,Cheung Sha Wan,15714,1
66328,Tsuen Wan Mid-levels,10202,1
66329,Ho Man Tin,19460,1
66330,Pok Fu Lam,15453,1
66331,Chai Wan,14098,
66332,Chai Wan,14248,
66333,King's Park,26816,1
66334,King's Park,17611,1
66335,Discovery Bay,13968,1
66336,Tai Kok Tsui,24199,
66337,Ho Man Tin,12784,
66338,Sheung Wan,19517,1
66339,Ho Man Tin,11947,
66340,Yuen Long Town Centre,12783,
66341,Pok Fu Lam,19344,1
66342,Cheung Sha Wan,21505,
66343,Lam Tin,14616,1
66344,Wan Chai,15282,1
66345,Shek Tong Tsui,30412,
66346,Tai Kok Tsui,23939,
66347,Shek Tong Tsui,18990,1
66348,Chai Wan,13735,1
66349,Laguna,18299,1
66350,To Kwa Wan,9190,
66351,To Kwa Wan,19267,1
66352,To Kwa Wan,15902,1
66353,Tai Kok Tsui,20248,
66354,Au Tau,11344,1
66355,Tai Kok Tsui,18786,1
66356,Au Tau,11171,1
66357,Tuen Mun North,14153,1
66358,Chi Lok,9104,1
66359,Sham Shui Po,10165,1
66360,Tuen Mun Ferry Pier,10153,
66361,Tuen Mun Ferry Pier,9814,
66362,Tsuen Wan West,18603,1
66363,Kowloon Station,29557,1
66364,Hung Hom,18571,1
66365,Hung Hom,10794,
66366,Kowloon Station,39455,1
66367,Yuen Long Town Centre,6718,
66368,Yuen Long Town Centre,11173,
66369,Yuen Long Town Centre,12474,1
66370,Yuk Kwai Shan Wan Poon,17921,1
66371,Lai King,11850,
66372,Shau Kei Wan,14450,
66373,Shau Kei Wan,12763,
66374,Tsuen King Circuit,14660,1
66375,Tsuen King Circuit,14641,1
66376,Sham Shui Po,7805,1
66377,Jordan,14218,1
66378,Kwun Tong,10055,1
66379,Pok Fu Lam,21448,
66380,Kwun Tong,11585,1
66381,Tsuen Wan West,15333,1
66382,Tsuen Wan West,16480,1
66383,Tuen Mun Ferry Pier,7279,
66384,Tuen Mun North,11581,1
66385,Sham Shui Po,18948,
66386,Tuen Mun North,13333,1
66387,Tuen Mun North,14979,1
66388,Tsuen King Circuit,12593,1
66389,Yau Yat Tsuen,18159,
66390,Yuen Long Town Centre,13881,1
66391,Mei Foo,12146,1
66392,Sham Shui Po,18623,1
66393,Ap Lei CHau,15000,1
66394,Sham Shui Po,22958,
66395,Sham Shui Po,19502,
66396,Yuen Long Town Centre,13686,1
66397,Tin Hau,30474,
66398,Tsuen King Circuit,15583,1
66399,Tuen Mun North,12238,1
66400,Yau Yat Tsuen,23978,
66401,Mei Foo,14735,1
66402,Mei Foo,12588,
66403,Yuen Long Town Centre,12739,1
66404,Yuen Long Town Centre,14151,1
66405,Yuen Long Town Centre,13057,1
66406,Tsuen King Circuit,10694,
66407,Kai Tak New Area,24857,
66408,Yuen Long Station,12672,1
66409,Kai Tak New Area,24832,
66410,Nam Cheong Station,32000,
66411,Nam Cheong Station,24615,
66412,Chi Lok,8990,
66413,Tsing Yi,17095,
66414,Tsing Yi,10913,
66415,Ma Tau Wai,7984,
66416,Tsing Yi,16301,1
66417,Tsing Yi,12121,
66418,Lam Tin,12373,
66419,Ngau Chi Wan,17082,
66420,Nam Cheong Station,26110,
66421,Ho Man Tin,14026,1
66422,Belvedere,13098,1
66423,Prince Edward,15056,1
66424,Luk Yeung,15188,1
66425,Prince Edward,7680,
66426,Prince Edward,12609,
66427,Tuen Mun South,15154,1
66428,Wong Tai Sin,7780,
66429,Sheung Kwai Chung,10629,1
66430,Sheung Kwai Chung,15439,1
66431,Sheung Kwai Chung,14225,1
66432,Prince Edward,13669,1
66433,Olympic Station,21820,1
66434,Olympic Station,19710,1
66435,Luk Yeung,12584,1
66436,Ngau Chi Wan,12612,1
66437,Wong Tai Sin,9607,
66438,Happy Valley,16257,1
66439,Tsing Yi,14967,1
66440,Siu Hong,14468,1
66441,Kowloon City,12057,1
66442,Kowloon City,11897,1
66443,Tsing Yi,14129,1
66444,Tsing Yi,18889,1
66445,Tsing Yi,7585,
66446,Sheung Wan,23214,0
66447,Tsing Yi,10481,
66448,Quarry Bay,13211,0
66449,Quarry Bay,15107,1
66450,Tin Hau,18349,1
66451,Tsuen Wan West,21734,1
66452,Lam Tei,10827,1
66453,Lam Tei,12626,1
66454,Lam Tei,13757,1
66455,So Kwun Wat,15484,
66456,Mong Kok,5565,1
66457,Tsuen Wan West,14241,1
66458,Aberdeen,16554,1
66459,Aberdeen,16085,1
66460,So Kwun Wat,17288,
66461,Tsing Yi,14589,1
66462,Lam Tin,16013,1
66463,Tsing Yi,16011,1
66464,Causeway Bay,20826,0
66465,Taikoo Shing,19295,1
66466,Taikoo Shing,18145,1
66467,Ngau Tau Kok,9077,1
66468,Ngau Tau Kok,13792,
66469,Wong Tai Sin,12868,
66470,Wong Tai Sin,13113,
66471,Causeway Bay,19265,1
66472,Wan Chai,13676,
66473,Kennedy Town,16656,1
66474,Kowloon Bay,13346,1
66475,Kowloon Station,20932,1
66476,Wan Chai,18794,1
66477,Four Little Dragons,17100,1
66478,Yuk Kwai Shan Wan Poon,20207,1
66479,Prince Edward,20899,1
66480,Taikoo Shing,17946,1
66481,Au Tau,13868,1
66482,Au Tau,12981,1
66483,Siu Hong,14173,1
66484,Tsuen Wan Town Centre,12966,
66485,Sheung Wan,17889,1
66486,Tsuen Wan Hoi Bun,13024,
66487,Kennedy Town,14503,1
66488,Tsing Yi,15068,
66489,Tsing Yi,7675,
66490,Tsing Yi,14402,1
66491,Yau Kom Tau,10990,1
66492,Choi Hung,16056,1
66493,North Point Mid-Levels,21515,
66494,North Point Mid-Levels,14569,
66495,Shek Tong Tsui,17766,1
66496,Au Tau,14690,1
66497,Tsuen Wan Town Centre,14526,1
66498,So Kwun Wat,17327,
66499,Tsuen Wan Town Centre,9565,
66500,Long Ping,15474,1
66501,Pok Fu Lam,16355,1
66502,Tuen Mun Town Centre,14885,
66503,Kam Tin,12580,1
66504,Tuen Mun Town Centre,10716,1
66505,Tuen Mun Town Centre,15758,1
66506,Long Ping,16254,1
66507,Long Ping,14406,1
66508,Tuen Mun Town Centre,16912,1
66509,Kwun Tong,6530,
66510,Kwun Tong,11456,
66511,Sheung Wan,16993,
66512,Kornhill,17103,1
66513,To Kwa Wan,8889,1
66514,Mid-Levels West,17978,
66515,Pok Fu Lam,20683,1
66516,Tsuen Wan Town Centre,11061,
66517,Tung Chung Town Centre,13778,1
66518,Hung Hom,9353,1
66519,Tin Wan,16179,0
66520,Ap Lei CHau,16529,
66521,Ap Lei CHau,13433,
66522,Tung Chung Town Centre,12514,1
66523,Tung Chung Town Centre,15155,1
66524,Tung Chung Town Centre,10213,1
66525,Tung Chung Town Centre,14315,1
66526,Siu Sai Wan,7671,
66527,Ngau Chi Wan,14611,
66528,Lai King,13079,
66529,Tin Shui Wai,9524,1
66530,Hung Hom,10337,1
66531,Long Ping,14710,
66532,Tai Kok Tsui,13715,1
66533,Tai Kok Tsui,20353,1
66534,Sai Wan Ho,11932,1
66535,Yau Tong,35538,
66536,So Kwun Wat,11753,1
66537,So Kwun Wat,15789,1
66538,Sai Ying Pun,32860,
66539,North Point,23150,1
66540,North Point,17563,1
66541,North Point,21728,1
66542,Sai Ying Pun,25668,1
66543,So Kwun Wat,12279,1
66544,Sai Wan Ho,16979,1
66545,Tin Shui Wai,11863,1
66546,Mid-Levels West,19548,1
66547,Tin Shui Wai,7757,
66548,Mong Kok,12226,0
66549,Sai Ying Pun,46000,
66550,Cheung Sha Wan,13453,1
66551,Mid-Levels West,25772,1
66552,Mid-Levels West,17500,1
66553,Tai Kok Tsui,15393,
66554,To Kwa Wan,18372,1
66555,Tsuen King Circuit,12645,1
66556,To Kwa Wan,16887,1
66557,To Kwa Wan,17491,1
66558,To Kwa Wan,16891,1
66559,Tsuen King Circuit,14660,1
66560,Cheung Sha Wan,17251,1
66561,Cheung Sha Wan,16864,1
66562,Cheung Sha Wan,14629,1
66563,Prince Edward,17895,1
66564,Four Little Dragons,19388,1
66565,Nam Cheong Station,30348,
66566,Wan Chai,16822,
66567,Mid-Levels West,19640,1
66568,Sheung Kwai Chung,9375,1
66569,Wan Chai,38824,
66570,Wan Chai,15793,1
66571,Wan Chai,34774,
66572,Kai Tak New Area,26262,
66573,Olympic Station,20858,1
66574,Siu Sai Wan,17633,1
66575,Sai Ying Pun,17582,1
66576,Whampoa,22704,1
66577,Anderson,7573,
66578,Olympic Station,20106,1
66579,Ma Wan,11087,1
66580,Tuen Mun Ferry Pier,14606,1
66581,Laguna,16698,1
66582,Tuen Mun Ferry Pier,17273,1
66583,Olympic Station,22047,1
66584,Lai Wan,13341,
66585,Kai Tak New Area,22871,
66586,Kai Tak New Area,23381,
66587,Kai Tak New Area,19841,1
66588,Kai Tak New Area,23800,
66589,Mid-Levels West,24558,1
66590,Whampoa,14670,1
66591,Whampoa,21226,1
66592,Mei Foo,14184,1
66593,Sham Shui Po,8421,1
66594,Yuen Long Station,15658,1
66595,Tung Chung Town Centre,13085,1
66596,Tung Chung Town Centre,14485,1
66597,Tung Chung Town Centre,12711,
66598,Lantau,6618,
66599,Tung Chung Town Centre,11442,
66600,Sham Shui Po,7332,
66601,Yuen Long Station,17156,1
66602,Tuen Mun San Hui,17959,
66603,Mid-Levels Central,28139,1
66604,Whampoa,14992,1
66605,Whampoa,20139,1
66606,Yuen Long Station,14609,1
66607,Lam Tin,12513,
66608,Tuen Mun South,12192,1
66609,Lam Tin,13928,1
66610,Lam Tin,13302,1
66611,Whampoa,16772,1
66612,Lam Tin,15709,1
66613,Tuen Mun South,9711,
66614,Whampoa,18305,1
66615,Kennedy Town,14069,1
66616,Lam Tin,14932,1
66617,Whampoa,15566,1
66618,Whampoa,19161,1
66619,Siu Hong,10557,
66620,Tuen Mun Ferry Pier,12891,1
66621,Olympic Station,25825,1
66622,Ho Man Tin,64204,
66623,Tai Kok Tsui,9887,
66624,Sham Tseng,10103,1
66625,Mid-Levels West,24802,1
66626,Sham Tseng,13616,1
66627,Kornhill,18872,1
66628,Kowloon Bay,16140,1
66629,Sham Tseng,12841,1
66630,Sham Tseng,10453,1
66631,Kornhill,14940,1
66632,Mid-Levels West,19733,1
66633,Tuen Mun North,7386,
66634,Ping Shan,13500,
66635,Ho Man Tin,13295,
66636,Tsuen King Circuit,14917,1
66637,Prince Edward,12121,1
66638,Ha Kwai Chung,10051,1
66639,Tsuen King Circuit,12874,1
66640,Mei Foo,13516,
66641,Mei Foo,14619,1
66642,Tai Kok Tsui,24589,
66643,Kennedy Town,22472,1
66644,Jordan,21028,1
66645,Jordan,23182,0
66646,Ping Shan,14980,
66647,Tai Kok Tsui,24856,
66648,Tin Shui Wai,7015,
66649,Kornhill,17755,
66650,Tin Shui Wai,11073,
66651,Tuen Mun North,10339,
66652,Discovery Bay,11872,1
66653,Ho Man Tin,18750,1
66654,Ho Man Tin,29840,
66655,Tuen Mun Ferry Pier,8755,
66656,Tsim Sha Tsui,13165,
66657,Tin Shui Wai,9964,1
66658,Hung Shui Kiu North New Development Area,12000,1
66659,Tuen Mun North,13844,1
66660,Shap Pat Heung,12447,1
66661,Tuen Mun North,13815,1
66662,Tsing Lung Tau,6993,
66663,Tsing Lung Tau,16245,
66664,Tsuen King Circuit,12901,1
66665,Tsuen King Circuit,15444,1
66666,Hung Hom,12882,
66667,Yuen Long Town Centre,13408,
66668,Kowloon Bay,17908,1
66669,Sham Shui Po,19729,
66670,Sham Shui Po,19130,1
66671,Yuen Long Town Centre,12477,1
66672,Tuen Mun South,11991,
66673,Tuen Mun South,12960,1
66674,Kowloon Bay,13759,
66675,Residence Bel-air,30747,1
66676,Quarry Bay,18098,1
66677,Quarry Bay,16896,1
66678,Pok Fu Lam,16629,1
66679,Shau Kei Wan,18760,0
66680,Kowloon Tong,24251,1
66681,Kowloon Tong,20921,
66682,Sham Shui Po,19955,
66683,Sham Shui Po,11435,1
66684,Wan Chai,17408,1
66685,Kam Tin,12327,1
66686,Tuen Mun South,7970,
66687,Whampoa,19676,1
66688,Yau Yat Tsuen,16827,1
66689,Whampoa,12150,1
66690,Whampoa,14636,1
66691,Whampoa,16497,1
66692,Pok Fu Lam,16264,1
66693,Wan Chai,18375,1
66694,Sham Shui Po,11415,1
66695,Wan Chai,17411,1
66696,Wong Tai Sin,13499,
66697,Luk Yeung,12887,
66698,Yau Ma Tei,10204,1
66699,Tsuen Wan Town Centre,7314,
66700,Chai Wan,16156,
66701,Ngau Tau Kok,11679,
66702,Causeway Bay,12416,
66703,Causeway Bay,11316,
66704,Causeway Bay,18464,1
66705,Causeway Bay,19281,1
66706,Ping Shan,8484,1
66707,Chai Wan,14384,
66708,Chai Wan,14822,1
66709,Shau Kei Wan,17773,1
66710,Tuen Mun Ferry Pier,10744,
66711,Tsim Sha Tsui,15913,1
66712,Tsim Sha Tsui,15100,1
